Date,Time,Numbers
2/2/20,M,17
2/3/20,E,01
2/3/20,M,02
2/4/20,E,86
2/4/20,M,27
2/5/20,E,56
2/5/20,M,86
2/6/20,E,57
2/6/20,M,62
2/7/20,E,87
2/7/20,M,01
2/8/20,E,33
2/8/20,M,66
2/9/20,E,96
2/9/20,M,59
2/10/20,E,63
2/10/20,M,26
2/11/20,E,74
2/11/20,M,36
2/12/20,E,43
2/12/20,M,65
2/13/20,E,11
2/13/20,M,77
2/14/20,E,32
2/14/20,M,67
2/15/20,E,37
2/15/20,M,36
2/16/20,E,38
2/16/20,M,30
2/17/20,E,94
2/17/20,M,63
2/18/20,E,62
2/18/20,M,29
2/19/20,E,30
2/19/20,M,84
2/20/20,E,08
2/20/20,M,94
2/21/20,E,38
2/21/20,M,43
2/22/20,E,50
2/22/20,M,41
2/23/20,E,57
2/23/20,M,47
2/24/20,E,79
2/24/20,M,34
2/25/20,E,95
2/25/20,M,75
2/26/20,E,75
2/26/20,M,37
2/27/20,E,22
2/27/20,M,17
2/28/20,E,28
2/28/20,M,64
2/29/20,E,12
2/29/20,M,12
3/1/20,E,14
3/1/20,M,07
3/2/20,E,38
3/2/20,M,32
3/3/20,E,86
3/3/20,M,45
3/4/20,E,23
3/4/20,M,47
3/5/20,E,94
3/5/20,M,26
3/6/20,E,84
3/6/20,M,07
3/7/20,E,16
3/7/20,M,04
3/8/20,E,18
3/8/20,M,86
3/9/20,E,05
3/9/20,M,83
3/10/20,E,24
3/10/20,M,07
3/11/20,E,97
3/11/20,M,96
3/12/20,E,81
3/12/20,M,05
3/13/20,E,84
3/13/20,M,84
3/14/20,E,74
3/14/20,M,30
3/15/20,E,96
3/15/20,M,61
3/16/20,E,71
3/16/20,M,62
3/17/20,E,82
3/17/20,M,91
3/18/20,E,38
3/18/20,M,77
3/19/20,E,42
3/19/20,M,53
3/20/20,E,90
3/20/20,M,70
3/21/20,E,55
3/21/20,M,80
3/22/20,E,82
3/22/20,M,68
3/23/20,E,47
3/23/20,M,24
3/24/20,E,42
3/24/20,M,22
3/25/20,E,68
3/25/20,M,04
3/26/20,E,53
3/26/20,M,61
3/27/20,E,90
3/27/20,M,03
3/28/20,E,67
3/28/20,M,33
3/29/20,E,32
3/29/20,M,94
3/30/20,E,74
3/30/20,M,83
3/31/20,E,48
3/31/20,M,23
4/1/20,E,97
4/1/20,M,46
4/2/20,E,21
4/2/20,M,96
4/3/20,E,33
4/3/20,M,65
4/4/20,E,37
4/4/20,M,50
4/5/20,E,58
4/5/20,M,25
4/6/20,E,58
4/6/20,M,19
4/7/20,E,05
4/7/20,M,92
4/8/20,E,84
4/8/20,M,96
4/9/20,E,91
4/9/20,M,61
4/10/20,E,22
4/10/20,M,01
4/11/20,E,21
4/11/20,M,96
4/12/20,E,40
4/12/20,M,79
4/13/20,E,07
4/13/20,M,24
4/14/20,E,59
4/14/20,M,17
4/15/20,E,92
4/15/20,M,20
4/16/20,E,11
4/16/20,M,47
4/17/20,E,67
4/17/20,M,27
4/18/20,E,93
4/18/20,M,71
4/19/20,E,66
4/19/20,M,73
4/20/20,E,93
4/20/20,M,50
4/21/20,E,48
4/21/20,M,07
4/22/20,E,52
4/22/20,M,74
4/23/20,E,83
4/23/20,M,83
4/24/20,E,32
4/24/20,M,36
4/25/20,E,95
4/25/20,M,26
4/26/20,E,29
4/26/20,M,14
4/27/20,E,67
4/27/20,M,22
4/28/20,E,32
4/28/20,M,34
4/29/20,E,99
4/29/20,M,81
4/30/20,E,61
4/30/20,M,36
5/1/20,E,14
5/1/20,M,44
5/2/20,E,74
5/2/20,M,29
5/3/20,E,47
5/3/20,M,65
5/4/20,E,35
5/4/20,M,25
5/5/20,E,56
5/5/20,M,68
5/6/20,E,16
5/6/20,M,17
5/7/20,E,92
5/7/20,M,03
5/8/20,E,73
5/8/20,M,98
5/9/20,E,09
5/9/20,M,55
5/10/20,E,93
5/10/20,M,18
5/11/20,E,80
5/11/20,M,17
5/12/20,E,92
5/12/20,M,21
5/13/20,E,39
5/13/20,M,18
5/14/20,E,02
5/14/20,M,77
5/15/20,E,97
5/15/20,M,32
5/16/20,E,10
5/16/20,M,31
5/17/20,E,50
5/17/20,M,17
5/18/20,E,57
5/18/20,M,56
5/19/20,E,27
5/19/20,M,85
5/20/20,E,61
5/20/20,M,41
5/21/20,E,58
5/21/20,M,21
5/22/20,E,40
5/22/20,M,15
5/23/20,E,59
5/23/20,M,05
5/24/20,E,34
5/24/20,M,66
5/25/20,E,97
5/25/20,M,83
5/26/20,E,37
5/26/20,M,44
5/27/20,E,37
5/27/20,M,99
5/28/20,E,50
5/28/20,M,06
5/29/20,E,20
5/29/20,M,05
5/30/20,E,81
5/30/20,M,76
5/31/20,E,15
5/31/20,M,21
6/1/20,E,26
6/1/20,M,88
6/2/20,E,10
6/2/20,M,19
6/3/20,E,57
6/3/20,M,52
6/4/20,E,89
6/4/20,M,57
6/5/20,E,61
6/5/20,M,75
6/6/20,E,22
6/6/20,M,65
6/7/20,E,72
6/7/20,M,86
6/8/20,E,99
6/8/20,M,85
6/9/20,E,35
6/9/20,M,01
6/10/20,E,76
6/10/20,M,55
6/11/20,E,60
6/11/20,M,43
6/12/20,E,51
6/12/20,M,31
6/13/20,E,99
6/13/20,M,39
6/14/20,E,74
6/14/20,M,10
6/15/20,E,11
6/15/20,M,92
6/16/20,E,42
6/16/20,M,24
6/17/20,E,05
6/17/20,M,40
6/18/20,E,81
6/18/20,M,42
6/19/20,E,10
6/19/20,M,13
6/20/20,E,68
6/20/20,M,95
6/21/20,E,35
6/21/20,M,85
6/22/20,E,91
6/22/20,M,69
6/23/20,E,28
6/23/20,M,97
6/24/20,E,92
6/24/20,M,33
6/25/20,E,25
6/25/20,M,67
6/26/20,E,81
6/26/20,M,62
6/27/20,E,30
6/27/20,M,78
6/28/20,E,81
6/28/20,M,22
6/29/20,E,93
6/29/20,M,89
6/30/20,E,89
6/30/20,M,67
7/1/20,E,29
7/1/20,M,97
7/2/20,E,48
7/2/20,M,96
7/3/20,E,20
7/3/20,M,97
7/4/20,E,80
7/4/20,M,80
7/5/20,E,89
7/5/20,M,21
7/6/20,E,01
7/6/20,M,21
7/7/20,E,82
7/7/20,M,98
7/8/20,E,09
7/8/20,M,99
7/9/20,E,83
7/9/20,M,44
7/10/20,E,47
7/10/20,M,05
7/11/20,E,74
7/11/20,M,85
7/12/20,E,46
7/12/20,M,47
7/13/20,E,37
7/13/20,M,64
7/14/20,E,18
7/14/20,M,58
7/15/20,E,24
7/15/20,M,37
7/16/20,E,35
7/16/20,M,32
7/17/20,E,75
7/17/20,M,23
7/18/20,E,96
7/18/20,M,65
7/19/20,E,50
7/19/20,M,59
7/20/20,E,95
7/20/20,M,32
7/21/20,E,05
7/21/20,M,32
7/22/20,E,99
7/22/20,M,42
7/23/20,E,47
7/23/20,M,37
7/24/20,E,58
7/24/20,M,62
7/25/20,E,00
7/25/20,M,62
7/26/20,E,79
7/26/20,M,21
7/27/20,E,63
7/27/20,M,25
7/28/20,E,85
7/28/20,M,30
7/29/20,E,39
7/29/20,M,73
7/30/20,E,92
7/30/20,M,60
7/31/20,E,33
7/31/20,M,12
8/1/20,E,05
8/1/20,M,45
8/2/20,E,30
8/2/20,M,41
8/3/20,E,59
8/3/20,M,41
8/4/20,E,71
8/4/20,M,86
8/5/20,E,49
8/5/20,M,11
8/6/20,E,35
8/6/20,M,17
8/7/20,E,55
8/7/20,M,26
8/8/20,E,53
8/8/20,M,47
8/9/20,E,75
8/9/20,M,71
8/10/20,E,32
8/10/20,M,20
8/11/20,E,47
8/11/20,M,55
8/12/20,E,89
8/12/20,M,74
8/13/20,E,34
8/13/20,M,40
8/14/20,E,69
8/14/20,M,41
8/15/20,E,44
8/15/20,M,00
8/16/20,E,93
8/16/20,M,10
8/17/20,E,19
8/17/20,M,19
8/18/20,E,83
8/18/20,M,78
8/19/20,E,49
8/19/20,M,34
8/20/20,E,69
8/20/20,M,84
8/21/20,E,55
8/21/20,M,47
8/22/20,E,91
8/22/20,M,17
8/23/20,E,71
8/23/20,M,93
8/24/20,E,69
8/24/20,M,11
8/25/20,E,15
8/25/20,M,17
8/26/20,E,29
8/26/20,M,89
8/27/20,E,75
8/27/20,M,62
8/28/20,E,10
8/28/20,M,03
8/29/20,E,17
8/29/20,M,48
8/30/20,E,00
8/30/20,M,57
8/31/20,E,12
8/31/20,M,93
9/1/20,E,96
9/1/20,M,99
9/2/20,E,42
9/2/20,M,86
9/3/20,E,72
9/3/20,M,78
9/4/20,E,85
9/4/20,M,84
9/5/20,E,37
9/5/20,M,29
9/6/20,E,28
9/6/20,M,55
9/7/20,E,80
9/7/20,M,77
9/8/20,E,79
9/8/20,M,89
9/9/20,E,38
9/9/20,M,69
9/10/20,E,26
9/10/20,M,69
9/11/20,E,36
9/11/20,M,06
9/12/20,E,60
9/12/20,M,72
9/13/20,E,31
9/13/20,M,89
9/14/20,E,33
9/14/20,M,10
9/15/20,E,46
9/15/20,M,93
9/16/20,E,54
9/16/20,M,22
9/17/20,E,81
9/17/20,M,69
9/18/20,E,88
9/18/20,M,82
9/19/20,E,92
9/19/20,M,44
9/20/20,E,00
9/20/20,M,39
9/21/20,E,16
9/21/20,M,58
9/22/20,E,72
9/22/20,M,08
9/23/20,E,78
9/23/20,M,31
9/24/20,E,30
9/24/20,M,10
9/25/20,E,54
9/25/20,M,17
9/26/20,E,66
9/26/20,M,71
9/27/20,E,18
9/27/20,M,92
9/28/20,E,37
9/28/20,M,05
9/29/20,E,78
9/29/20,M,45
9/30/20,E,26
9/30/20,M,72
10/1/20,E,55
10/1/20,M,70
10/2/20,E,74
10/2/20,M,01
10/3/20,E,54
10/3/20,M,23
10/4/20,E,49
10/4/20,M,68
10/5/20,E,22
10/5/20,M,43
10/6/20,E,52
10/6/20,M,90
10/7/20,E,14
10/7/20,M,00
10/8/20,E,47
10/8/20,M,15
10/9/20,E,46
10/9/20,M,75
10/10/20,E,49
10/10/20,M,99
10/11/20,E,96
10/11/20,M,16
10/12/20,E,56
10/12/20,M,31
10/13/20,E,12
10/13/20,M,30
10/14/20,E,95
10/14/20,M,08
10/15/20,E,36
10/15/20,M,24
10/16/20,E,38
10/16/20,M,83
10/17/20,E,47
10/17/20,M,24
10/18/20,E,80
10/18/20,M,26
10/19/20,E,58
10/19/20,M,91
10/20/20,E,23
10/20/20,M,80
10/21/20,E,79
10/21/20,M,68
10/22/20,E,56
10/22/20,M,03
10/23/20,E,03
10/23/20,M,38
10/24/20,E,45
10/24/20,M,67
10/25/20,E,62
10/25/20,M,92
10/26/20,E,13
10/26/20,M,06
10/27/20,E,32
10/27/20,M,80
10/28/20,E,85
10/28/20,M,29
10/29/20,E,14
10/29/20,M,93
10/30/20,E,82
10/30/20,M,96
10/31/20,E,10
10/31/20,M,51
11/1/20,E,95
11/1/20,M,86
11/2/20,E,31
11/2/20,M,16
11/3/20,E,47
11/3/20,M,27
11/4/20,E,22
11/4/20,M,48
11/5/20,E,11
11/5/20,M,02
11/6/20,E,95
11/6/20,M,85
11/7/20,E,13
11/7/20,M,46
11/8/20,E,98
11/8/20,M,50
11/9/20,E,37
11/9/20,M,40
11/10/20,E,43
11/10/20,M,21
11/11/20,E,10
11/11/20,M,29
11/12/20,E,60
11/12/20,M,12
11/13/20,E,10
11/13/20,M,63
11/14/20,E,68
11/14/20,M,99
11/15/20,E,41
11/15/20,M,98
11/16/20,E,06
11/16/20,M,41
11/17/20,E,74
11/17/20,M,22
11/18/20,E,73
11/18/20,M,13
11/19/20,E,06
11/19/20,M,03
11/20/20,E,21
11/20/20,M,49
11/21/20,E,51
11/21/20,M,14
11/22/20,E,85
11/22/20,M,01
11/23/20,E,83
11/23/20,M,06
11/24/20,E,41
11/24/20,M,70
11/25/20,E,40
11/25/20,M,46
11/26/20,E,07
11/26/20,M,67
11/27/20,E,69
11/27/20,M,21
11/28/20,E,37
11/28/20,M,03
11/29/20,E,55
11/29/20,M,95
11/30/20,E,03
11/30/20,M,59
12/1/20,E,41
12/1/20,M,95
12/2/20,E,02
12/2/20,M,77
12/3/20,E,45
12/3/20,M,03
12/4/20,E,27
12/4/20,M,43
12/5/20,E,26
12/5/20,M,98
12/6/20,E,69
12/6/20,M,70
12/7/20,E,16
12/7/20,M,70
12/8/20,E,42
12/8/20,M,82
12/9/20,E,03
12/9/20,M,57
12/10/20,E,82
12/10/20,M,61
12/11/20,E,06
12/11/20,M,41
12/12/20,E,31
12/12/20,M,92
12/13/20,E,47
12/13/20,M,12
12/14/20,E,62
12/14/20,M,24
12/15/20,E,70
12/15/20,M,58
12/16/20,E,48
12/16/20,M,74
12/17/20,E,69
12/17/20,M,48
12/18/20,E,91
12/18/20,M,74
12/19/20,E,31
12/19/20,M,43
12/20/20,E,62
12/20/20,M,83
12/21/20,E,04
12/21/20,M,78
12/22/20,E,39
12/22/20,M,59
12/23/20,E,11
12/23/20,M,52
12/24/20,E,57
12/24/20,M,12
12/25/20,E,86
12/25/20,M,65
12/26/20,E,04
12/26/20,M,91
12/27/20,E,51
12/27/20,M,00
12/28/20,E,97
12/28/20,M,30
12/29/20,E,59
12/29/20,M,14
12/30/20,E,04
12/30/20,M,43
12/31/20,E,04
12/31/20,M,65
1/1/21,E,87
1/1/21,M,39
1/2/21,E,54
1/2/21,M,52
1/3/21,E,26
1/3/21,M,69
1/4/21,E,55
1/4/21,M,16
1/5/21,E,77
1/5/21,M,58
1/6/21,E,24
1/6/21,M,37
1/7/21,E,26
1/7/21,M,05
1/8/21,E,19
1/8/21,M,99
1/9/21,E,43
1/9/21,M,98
1/10/21,E,31
1/10/21,M,30
1/11/21,E,07
1/11/21,M,13
1/12/21,E,81
1/12/21,M,54
1/13/21,E,71
1/13/21,M,42
1/14/21,E,81
1/14/21,M,39
1/15/21,E,45
1/15/21,M,51
1/16/21,E,49
1/16/21,M,69
1/17/21,E,39
1/17/21,M,60
1/18/21,E,73
1/18/21,M,57
1/19/21,E,76
1/19/21,M,75
1/20/21,E,13
1/20/21,M,17
1/21/21,E,33
1/21/21,M,77
1/22/21,E,72
1/22/21,M,76
1/23/21,E,76
1/23/21,M,91
1/24/21,E,05
1/24/21,M,09
1/25/21,E,25
1/25/21,M,23
1/26/21,E,93
1/26/21,M,50
1/27/21,E,48
1/27/21,M,99
1/28/21,E,88
1/28/21,M,58
1/29/21,E,76
1/29/21,M,53
1/30/21,E,27
1/30/21,M,72
1/31/21,E,91
1/31/21,M,89
2/1/21,E,97
2/1/21,M,57
2/2/21,E,48
2/2/21,M,93
2/3/21,E,82
2/3/21,M,84
2/4/21,E,35
2/4/21,M,62
2/5/21,E,61
2/5/21,M,66
2/6/21,E,19
2/6/21,M,23
2/7/21,E,62
2/7/21,M,47
2/8/21,E,67
2/8/21,M,19
2/9/21,E,29
2/9/21,M,24
2/10/21,E,87
2/10/21,M,45
2/11/21,E,60
2/11/21,M,55
2/12/21,E,52
2/12/21,M,78
2/13/21,E,52
2/13/21,M,05
2/14/21,E,42
2/14/21,M,02
2/15/21,E,86
2/15/21,M,98
2/16/21,E,44
2/16/21,M,09
2/17/21,E,37
2/17/21,M,64
2/18/21,E,60
2/18/21,M,31
2/19/21,E,60
2/19/21,M,77
2/20/21,E,19
2/20/21,M,00
2/21/21,E,89
2/21/21,M,74
2/22/21,E,68
2/22/21,M,73
2/23/21,E,55
2/23/21,M,01
2/24/21,E,95
2/24/21,M,63
2/25/21,E,21
2/25/21,M,46
2/26/21,E,45
2/26/21,M,79
2/27/21,E,72
2/27/21,M,09
2/28/21,E,16
2/28/21,M,19
3/1/21,E,83
3/1/21,M,67
3/2/21,E,52
3/2/21,M,33
3/3/21,E,00
3/3/21,M,30
3/4/21,E,27
3/4/21,M,97
3/5/21,E,91
3/5/21,M,24
3/6/21,E,72
3/6/21,M,95
3/7/21,E,13
3/7/21,M,88
3/8/21,E,12
3/8/21,M,84
3/9/21,E,12
3/9/21,M,46
3/10/21,E,94
3/10/21,M,94
3/11/21,E,13
3/11/21,M,98
3/12/21,E,57
3/12/21,M,29
3/13/21,E,30
3/13/21,M,38
3/14/21,E,10
3/14/21,M,70
3/15/21,E,35
3/15/21,M,36
3/16/21,E,17
3/16/21,M,48
3/17/21,E,95
3/17/21,M,63
3/18/21,E,49
3/18/21,M,89
3/19/21,E,97
3/19/21,M,23
3/20/21,E,87
3/20/21,M,46
3/21/21,E,97
3/21/21,M,86
3/22/21,E,26
3/22/21,M,70
3/23/21,E,08
3/23/21,M,69
3/24/21,E,63
3/24/21,M,57
3/25/21,E,71
3/25/21,M,23
3/26/21,E,28
3/26/21,M,44
3/27/21,E,85
3/27/21,M,72
3/28/21,E,58
3/28/21,M,99
3/29/21,E,68
3/29/21,M,80
3/30/21,E,08
3/30/21,M,68
3/31/21,E,35
3/31/21,M,88
4/1/21,E,89
4/1/21,M,97
4/2/21,E,54
4/2/21,M,74
4/3/21,E,47
4/3/21,M,43
4/4/21,E,54
4/4/21,M,92
4/5/21,E,30
4/5/21,M,63
4/6/21,E,62
4/6/21,M,25
4/7/21,E,89
4/7/21,M,11
4/8/21,E,74
4/8/21,M,12
4/9/21,E,49
4/9/21,M,63
4/10/21,E,12
4/10/21,M,56
4/11/21,E,05
4/11/21,M,33
4/12/21,E,04
4/12/21,M,22
4/13/21,E,81
4/13/21,M,71
4/14/21,E,49
4/14/21,M,90
4/15/21,E,21
4/15/21,M,56
4/16/21,E,22
4/16/21,M,94
4/17/21,E,07
4/17/21,M,51
4/18/21,E,11
4/18/21,M,39
4/19/21,E,50
4/19/21,M,55
4/20/21,E,67
4/20/21,M,29
4/21/21,E,31
4/21/21,M,55
4/22/21,E,19
4/22/21,M,80
4/23/21,E,66
4/23/21,M,37
4/24/21,E,01
4/24/21,M,10
4/25/21,E,57
4/25/21,M,25
4/26/21,E,47
4/26/21,M,13
4/27/21,E,41
4/27/21,M,03
4/28/21,E,05
4/28/21,M,62
4/29/21,E,46
4/29/21,M,98
4/30/21,E,75
4/30/21,M,27
5/1/21,E,63
5/1/21,M,09
5/2/21,E,18
5/2/21,M,23
5/3/21,E,91
5/3/21,M,18
5/4/21,E,97
5/4/21,M,22
5/5/21,E,70
5/5/21,M,71
5/6/21,E,80
5/6/21,M,70
5/7/21,E,84
5/7/21,M,99
5/8/21,E,81
5/8/21,M,32
5/9/21,E,73
5/9/21,M,08
5/10/21,E,43
5/10/21,M,21
5/11/21,E,50
5/11/21,M,33
5/12/21,E,16
5/12/21,M,26
5/13/21,E,55
5/13/21,M,44
5/14/21,E,61
5/14/21,M,66
5/15/21,E,83
5/15/21,M,38
5/16/21,E,92
5/16/21,M,90
5/17/21,E,02
5/17/21,M,28
5/18/21,E,98
5/18/21,M,85
5/19/21,E,13
5/19/21,M,24
5/20/21,E,78
5/20/21,M,27
5/21/21,E,59
5/21/21,M,71
5/22/21,E,80
5/22/21,M,16
5/23/21,E,18
5/23/21,M,12
5/24/21,E,02
5/24/21,M,39
5/25/21,E,13
5/25/21,M,51
5/26/21,E,46
5/26/21,M,62
5/27/21,E,25
5/27/21,M,05
5/28/21,E,97
5/28/21,M,84
5/29/21,E,35
5/29/21,M,55
5/30/21,E,74
5/30/21,M,34
5/31/21,E,93
5/31/21,M,90
6/1/21,E,04
6/1/21,M,69
6/2/21,E,50
6/2/21,M,35
6/3/21,E,49
6/3/21,M,67
6/4/21,E,64
6/4/21,M,95
6/5/21,E,31
6/5/21,M,42
6/6/21,E,91
6/6/21,M,15
6/7/21,E,52
6/7/21,M,24
6/8/21,E,88
6/8/21,M,47
6/9/21,E,80
6/9/21,M,83
6/10/21,E,01
6/10/21,M,08
6/11/21,E,54
6/11/21,M,92
6/12/21,E,65
6/12/21,M,83
6/13/21,E,70
6/13/21,M,27
6/14/21,E,39
6/14/21,M,14
6/15/21,E,30
6/15/21,M,94
6/16/21,E,38
6/16/21,M,93
6/17/21,E,90
6/17/21,M,43
6/18/21,E,16
6/18/21,M,92
6/19/21,E,98
6/19/21,M,50
6/20/21,E,58
6/20/21,M,08
6/21/21,E,83
6/21/21,M,44
6/22/21,E,58
6/22/21,M,08
6/23/21,E,75
6/23/21,M,65
6/24/21,E,96
6/24/21,M,18
6/25/21,E,75
6/25/21,M,55
6/26/21,E,53
6/26/21,M,64
6/27/21,E,45
6/27/21,M,21
6/28/21,E,37
6/28/21,M,13
6/29/21,E,75
6/29/21,M,49
6/30/21,E,59
6/30/21,M,44
7/1/21,E,13
7/1/21,M,49
7/2/21,E,87
7/2/21,M,63
7/3/21,E,78
7/3/21,M,06
7/4/21,E,49
7/4/21,M,63
7/5/21,E,70
7/5/21,M,94
7/6/21,E,94
7/6/21,M,23
7/7/21,E,02
7/7/21,M,45
7/8/21,E,58
7/8/21,M,54
7/9/21,E,52
7/9/21,M,75
7/10/21,E,01
7/10/21,M,07
7/11/21,E,77
7/11/21,M,68
7/12/21,E,81
7/12/21,M,89
7/13/21,E,91
7/13/21,M,83
7/14/21,E,55
7/14/21,M,85
7/15/21,E,73
7/15/21,M,69
7/16/21,E,12
7/16/21,M,61
7/17/21,E,88
7/17/21,M,60
7/18/21,E,97
7/18/21,M,53
7/19/21,E,12
7/19/21,M,62
7/20/21,E,96
7/20/21,M,83
7/21/21,E,78
7/21/21,M,70
7/22/21,E,51
7/22/21,M,02
7/23/21,E,97
7/23/21,M,35
7/24/21,E,56
7/24/21,M,22
7/25/21,E,92
7/25/21,M,55
7/26/21,E,52
7/26/21,M,41
7/27/21,E,93
7/27/21,M,75
7/28/21,E,00
7/28/21,M,56
7/29/21,E,37
7/29/21,M,92
7/30/21,E,74
7/30/21,M,14
7/31/21,E,28
7/31/21,M,75
8/1/21,E,90
8/1/21,M,75
8/2/21,E,84
8/2/21,M,14
8/3/21,E,77
8/3/21,M,92
8/4/21,E,50
8/4/21,M,48
8/5/21,E,02
8/5/21,M,62
8/6/21,E,28
8/6/21,M,62
8/7/21,E,78
8/7/21,M,39
8/8/21,E,96
8/8/21,M,66
8/9/21,E,50
8/9/21,M,33
8/10/21,E,82
8/10/21,M,50
8/11/21,E,40
8/11/21,M,49
8/12/21,E,44
8/12/21,M,83
8/13/21,E,65
8/13/21,M,40
8/14/21,E,41
8/14/21,M,47
8/15/21,E,94
8/15/21,M,09
8/16/21,E,40
8/16/21,M,72
8/17/21,E,15
8/17/21,M,70
8/18/21,E,74
8/18/21,M,77
8/19/21,E,11
8/19/21,M,42
8/20/21,E,80
8/20/21,M,54
8/21/21,E,19
8/21/21,M,57
8/22/21,E,30
8/22/21,M,92
8/23/21,E,79
8/23/21,M,46
8/24/21,E,48
8/24/21,M,30
8/25/21,E,79
8/25/21,M,41
8/26/21,E,64
8/26/21,M,29
8/27/21,E,51
8/27/21,M,86
8/28/21,E,43
8/28/21,M,50
8/29/21,E,81
8/29/21,M,45
